1,9.97233
1.07152,23.4066
1.14815,51.9014
1.23027,109.136
1.31826,218.393
1.41254,417.281
1.51356,763.618
1.62181,1342.24
1.7378,2272.25
1.86209,3714.01
1.99526,5874.97
2.13796,9013.47
2.29087,13439.6
2.45471,19512.5
2.63027,27633.9
2.81838,38237.8
3.01995,51776.7
3.23594,68705.5
3.46737,89464
3.71535,114458
3.98107,144045
4.2658,178513
4.57088,218076
4.89779,262858
5.24807,312890
5.62341,368111
6.0256,428365
6.45654,493411
6.91831,562926
7.4131,636518
7.94328,713737
8.51138,794086
9.12011,877032
9.77237,962023
10.4713,1.04849e+06
11.2202,1.13588e+06
12.0226,1.22362e+06
12.8825,1.31119e+06
13.8038,1.39806e+06
14.7911,1.48376e+06
15.8489,1.56784e+06
16.9824,1.64988e+06
18.197,1.72951e+06
19.4984,1.8064e+06
20.893,1.88026e+06
22.3872,1.95084e+06
23.9883,2.01793e+06
25.704,2.08136e+06
27.5423,2.14099e+06
29.5121,2.19671e+06
31.6228,2.24845e+06
33.8844,2.29618e+06
36.3078,2.33988e+06
38.9045,2.37956e+06
41.6869,2.41524e+06
44.6684,2.44698e+06
47.863,2.47485e+06
51.2861,2.49892e+06
54.9541,2.51929e+06
58.8844,2.53608e+06
63.0957,2.54938e+06
67.6083,2.55934e+06
72.4436,2.56607e+06
77.6247,2.5697e+06
83.1764,2.57038e+06
89.1251,2.56824e+06
95.4993,2.56342e+06
102.329,2.55606e+06
109.648,2.5463e+06
117.49,2.53428e+06
125.893,2.52014e+06
134.896,2.50401e+06
144.544,2.48601e+06
154.882,2.46629e+06
165.959,2.44495e+06
177.828,2.42212e+06
190.546,2.39793e+06
204.174,2.37248e+06
218.776,2.34587e+06
234.423,2.31822e+06
251.189,2.28962e+06
269.153,2.26017e+06
288.403,2.22996e+06
309.03,2.19907e+06
331.131,2.16759e+06
354.813,2.13559e+06
380.189,2.10315e+06
407.38,2.07035e+06
436.516,2.03723e+06
467.735,2.00388e+06
501.187,1.97033e+06
537.032,1.93666e+06
575.44,1.90291e+06
616.595,1.86913e+06
660.693,1.83537e+06
707.946,1.80166e+06
758.578,1.76805e+06
812.831,1.73457e+06
870.964,1.70125e+06
933.254,1.66813e+06
1000,1.63524e+06
