1,0.0474704
1.07152,0.146382
1.14815,0.420978
1.23027,1.13425
1.31826,2.87529
1.41254,6.88483
1.51356,15.6295
1.62181,33.7543
1.7378,69.573
1.86209,137.271
1.99526,259.99
2.13796,473.917
2.29087,833.434
2.45471,1417.25
2.63027,2335.33
2.81838,3736.19
3.01995,5814.2
3.23594,8816.07
3.46737,13046.1
3.71535,18869.3
3.98107,26711.9
4.2658,37059.3
4.57088,50449.6
4.89779,67465.6
5.24807,88722
5.62341,114851
6.0256,146486
6.45654,184243
6.91831,228704
7.4131,280395
7.94328,339774
8.51138,407214
9.12011,482989
9.77237,567265
10.4713,660097
11.2202,761417
12.0226,871045
12.8825,988681
13.8038,1.11392e+06
14.7911,1.24625e+06
15.8489,1.38506e+06
16.9824,1.52969e+06
18.197,1.67937e+06
19.4984,1.83331e+06
20.893,1.99065e+06
22.3872,2.15053e+06
23.9883,2.31206e+06
25.704,2.47434e+06
27.5423,2.6365e+06
29.5121,2.79769e+06
31.6228,2.95707e+06
33.8844,3.11385e+06
36.3078,3.2673e+06
38.9045,3.4167e+06
41.6869,3.56143e+06
44.6684,3.70091e+06
47.863,3.83462e+06
51.2861,3.9621e+06
54.9541,4.08295e+06
58.8844,4.19684e+06
63.0957,4.30351e+06
67.6083,4.40273e+06
72.4436,4.49434e+06
77.6247,4.57825e+06
83.1764,4.65439e+06
89.1251,4.72276e+06
95.4993,4.78339e+06
102.329,4.83636e+06
109.648,4.88177e+06
117.49,4.91977e+06
125.893,4.95052e+06
134.896,4.97422e+06
144.544,4.99109e+06
154.882,5.00137e+06
165.959,5.00529e+06
177.828,5.00312e+06
190.546,4.99514e+06
204.174,4.98162e+06
218.776,4.96284e+06
234.423,4.9391e+06
251.189,4.91067e+06
269.153,4.87785e+06
288.403,4.84091e+06
309.03,4.80014e+06
331.131,4.75581e+06
354.813,4.70819e+06
380.189,4.65754e+06
407.38,4.60411e+06
436.516,4.54816e+06
467.735,4.48991e+06
501.187,4.42961e+06
537.032,4.36746e+06
575.44,4.30367e+06
616.595,4.23846e+06
660.693,4.172e+06
707.946,4.10447e+06
758.578,4.03606e+06
812.831,3.96692e+06
870.964,3.89719e+06
933.254,3.82704e+06
1000,3.75659e+06
